Konkurent,Stranka / projekt,Panoga,Storitev / signal,Tip sodelovanja,Status,Zadnji javni signal,Datum preverjanja,Vir,Opomba
WATT Agency,Red Bull,FMCG / pijače,Content / creative,Korporativni,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,Telekom Slovenije,Telekom,Social media / TikTok / creative,Retainer,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,Poli,FMCG,Content / creative,Korporativni,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,Argeta,FMCG,Content / creative,Korporativni,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,Lesnina,Retail / pohištvo,Social / content,Korporativni,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,BTC City,Retail / destination,TikTok / social,Retainer / recent,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,Bird Buddy,Tech / e-commerce,Performance creative,Performance,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,Speech Blubs,App / tech,Performance creative,Performance,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,Golden Tree,E-commerce / wellness,Performance creative,Performance,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
WATT Agency,Dormeo,Retail / e-commerce,Performance creative,Performance,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,
