Konkurent,Stranka / projekt,Panoga,Storitev / signal,Tip sodelovanja,Status,Zadnji javni signal,Datum preverjanja,Vir,Opomba,FC vir HTTP,FC stranka omenjena,FC citat,FC datum dokaza,FC predlog statusa,FC razlog,FC datum
WATT Agency,Red Bull,FMCG / pijače,Content / creative,Korporativni,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Nekateri korpo naročniki: Red Bull, Telekom Slovenije, Poli, Argeta, Lesnina, BTC City…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,uncertain,"Edini vir je zaprt oglas iz ≈2025; v novejšem oglasu (nov. 2025) stranka ni več omenjena. Agencija je medtem postala Outpace (performance/UGC, wearetiktok.agency → 301 na outpaceagency.com), na outpaceagency.com te stranke ni.",2026-09-22
WATT Agency,Telekom Slovenije,Telekom,Social media / TikTok / creative,Retainer,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Nekateri korpo naročniki: Red Bull, Telekom Slovenije, Poli, Argeta, Lesnina, BTC City…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,likely active,"Omenjen v oglasu ≈2025 in znova v oglasu nov. 2025 (projektni vodja) ter v Wayback /projekti case-u (jun. 2026 identičen jan. 2025); organski TikTok za korpo stranke ni več fokus Outpace, zato brez 2026 potrditve.",2026-09-22
WATT Agency,Poli,FMCG,Content / creative,Korporativni,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Nekateri korpo naročniki: Red Bull, Telekom Slovenije, Poli, Argeta, Lesnina, BTC City…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,uncertain,"Edini vir je zaprt oglas iz ≈2025; v novejšem oglasu (nov. 2025) stranka ni več omenjena. Agencija je medtem postala Outpace (performance/UGC, wearetiktok.agency → 301 na outpaceagency.com), na outpaceagency.com te stranke ni.",2026-09-22
WATT Agency,Argeta,FMCG,Content / creative,Korporativni,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Nekateri korpo naročniki: Red Bull, Telekom Slovenije, Poli, Argeta, Lesnina, BTC City…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,uncertain,"Edini vir je zaprt oglas iz ≈2025; v novejšem oglasu (nov. 2025) stranka ni več omenjena. Agencija je medtem postala Outpace (performance/UGC, wearetiktok.agency → 301 na outpaceagency.com), na outpaceagency.com te stranke ni. Wayback /projekti (identičen jan. 2025 in jun. 2026) ima Argeta case.",2026-09-22
WATT Agency,Lesnina,Retail / pohištvo,Social / content,Korporativni,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Nekateri korpo naročniki: Red Bull, Telekom Slovenije, Poli, Argeta, Lesnina, BTC City…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,likely active,"Omenjen v oglasu ≈2025 in znova v oglasu nov. 2025 (projektni vodja) ter v Wayback /projekti case-u (jun. 2026 identičen jan. 2025); organski TikTok za korpo stranke ni več fokus Outpace, zato brez 2026 potrditve.",2026-09-22
WATT Agency,BTC City,Retail / destination,TikTok / social,Retainer / recent,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Nekateri korpo naročniki: Red Bull, Telekom Slovenije, Poli, Argeta, Lesnina, BTC City…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,likely active,"Omenjen v oglasu ≈2025 in znova v oglasu nov. 2025 (projektni vodja) ter v Wayback /projekti case-u (jun. 2026 identičen jan. 2025); organski TikTok za korpo stranke ni več fokus Outpace, zato brez 2026 potrditve.",2026-09-22
WATT Agency,Bird Buddy,Tech / e-commerce,Performance creative,Performance,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Ecom/performance naročniki: Bird Buddy, Speech Blubs, Golden Tree, Dormeo, Afrodita…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,likely active,"V oglasu ≈2025, oglasu nov. 2025 in danes na outpaceagency.com kot mapa aktualnih AI/UGC kreativ (watt.b-cdn.net/Performance/AI/BirdBuddy), brez pričevanja.",2026-09-22
WATT Agency,Speech Blubs,App / tech,Performance creative,Performance,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Ecom/performance naročniki: Bird Buddy, Speech Blubs, Golden Tree, Dormeo, Afrodita…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,uncertain,"Edini vir je zaprt oglas iz ≈2025; v novejšem oglasu (nov. 2025) stranka ni več omenjena. Agencija je medtem postala Outpace (performance/UGC, wearetiktok.agency → 301 na outpaceagency.com), na outpaceagency.com te stranke ni.",2026-09-22
WATT Agency,Golden Tree,E-commerce / wellness,Performance creative,Performance,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Ecom/performance naročniki: Bird Buddy, Speech Blubs, Golden Tree, Dormeo, Afrodita…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt; outpaceagency.com ©2026 pričevanje,confirmed active,Danes na outpaceagency.com: case »400+ video ads per week across 11 countries« in pričevanje Harisa Begiča (CEO Golden Tree) »working with them since their launch«.,2026-09-22
WATT Agency,Dormeo,Retail / e-commerce,Performance creative,Performance,🟢 Močan aktualen signal,Omenjen med naročniki v javnem oglasu; vir navaja 30+ aktivnih naročnikov,2026-09-21,https://si.linkedin.com/jobs/view/managing-director-watt-agency-at-watt-agency-4243885411,,200,da,"Ecom/performance naročniki: Bird Buddy, Speech Blubs, Golden Tree, Dormeo, Afrodita…",LinkedIn 22.9.2026 prikaže »1 year ago« (≈ sredina 2025); besedilo: »lani 600k … letos 1.000.000 €«; oglas zaprt,uncertain,"Edini vir je zaprt oglas iz ≈2025; v novejšem oglasu (nov. 2025) stranka ni več omenjena. Agencija je medtem postala Outpace (performance/UGC, wearetiktok.agency → 301 na outpaceagency.com), na outpaceagency.com te stranke ni.",2026-09-22
